Name,Year,Duration,ratings,Num_of_Ratings,Genres
The Wizard of Oz,1939,1h 42m,8.1,428000,"Adventure,Family,Fantasy"
Raging Bull,1980,2h 9m,8.1,380000,"Biography,Drama,Sport"
My Neighbor Totoro,1988,1h 26m,8.1,379000,"Animation,Comedy,Family"
Hotel Rwanda,2004,2h 1m,8.1,372000,"Biography,Drama,History"
The Deer Hunter,1978,3h 3m,8.1,362000,"Drama,War"
Chinatown,1974,2h 10m,8.1,349000,"Drama,Mystery,Thriller"
Before Sunrise,1995,1h 41m,8.1,339000,"Drama,Romance"
Hachi: A Dog's Tale,2009,1h 33m,8.1,311000,"Biography,Drama,Family"
Before Sunset,2004,1h 20m,8.1,287000,"Drama,Romance"
The Sound of Music,1965,2h 52m,8.1,260000,"Biography,Drama,Family"
Ben-Hur,1959,3h 32m,8.1,253000,"Adventure,Drama"
Amores Perros,2000,2h 34m,8.1,253000,"Drama,Thriller"
The Bridge on the River Kwai,1957,2h 41m,8.1,233000,"Adventure,Drama,War"
The Iron Giant,1999,1h 26m,8.1,227000,"Animation,Action,Adventure"
Wild Tales,2014,2h 2m,8.1,216000,"Comedy,Drama,Thriller"
Memories of Murder,2003,2h 12m,8.1,216000,"Crime,Drama,Mystery"
The Seventh Seal,1957,1h 36m,8.1,198000,"Drama,Fantasy"
La haine,1995,1h 38m,8.1,196000,"Crime,Drama"
Cool Hand Luke,1967,2h 7m,8.1,188000,"Crime,Drama"
Mary and Max,2009,1h 32m,8.1,187000,"Animation,Comedy,Drama"
In the Name of the Father,1993,2h 13m,8.1,187000,"Biography,Crime,Drama"
Barry Lyndon,1975,3h 5m,8.1,183000,"Adventure,Drama,War"
The Third Man,1949,1h 33m,8.1,182000,"Film-Noir,Mystery,Thriller"
The Handmaiden,2016,2h 25m,8.1,172000,"Drama,Romance,Thriller"
Network,1976,2h 1m,8.1,170000,Drama
On the Waterfront,1954,1h 48m,8.1,165000,"Crime,Drama,Thriller"
Rebecca,1940,2h 10m,8.1,147000,"Drama,Mystery,Romance"
Mr. Smith Goes to Washington,1939,2h 9m,8.1,121000,"Comedy,Drama"
The Gold Rush,1925,1h 35m,8.1,119000,"Adventure,Comedy,Drama"
"Paris, Texas",1984,2h 25m,8.1,119000,Drama
Wild Strawberries,1957,1h 31m,8.1,115000,"Drama,Romance"
It Happened One Night,1934,1h 45m,8.1,112000,"Comedy,Romance"
The Grapes of Wrath,1940,2h 9m,8.1,100000,Drama
The General,1926,1h 18m,8.1,98000,"Action,Adventure,Comedy"
The Best Years of Our Lives,1946,2h 50m,8.1,70000,"Drama,Romance,War"
Tokyo Story,1953,2h 16m,8.1,68000,Drama
The Battle of Algiers,1966,2h 1m,8.1,66000,"Drama,War"
The Passion of Joan of Arc,1928,1h 54m,8.1,61000,"Biography,Drama,History"
To Be or Not to Be,1942,1h 39m,8.1,43000,"Comedy,Romance,War"
The Incredibles,2004,1h 55m,8.0,807000,"Animation,Action,Adventure"
Groundhog Day,1993,1h 41m,8.0,684000,"Comedy,Drama,Fantasy"
Aladdin,1992,1h 30m,8.0,466000,"Animation,Adventure,Comedy"
Dances with Wolves,1990,3h 1m,8.0,290000,"Adventure,Drama,Western"
